linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
36,45.7123,16.077686,Zagrebačka,Velika Gorica,Alfa Romeo,159 SW,4.700 €,2010. godište,Diesel,88 kW,karavan,5,229000 km,https://www.njuskalo.hr/auti/alfa-romeo-159-sw-1.9-jtdm-2010god-oglas-42265852
37,44.125020490202,15.232778376941,Zadarska,Zadar,Alfa Romeo,Giulietta,19.200 €,2020. godište,Diesel,128 kW,hatchback,5,27449 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-175-jtdm-tct-sprint-2020-oglas-41796936
38,45.479569197312,16.398757018602,Sisačko-moslavačka,Sisak,Alfa Romeo,Stelvio,25.999 €,2017. godište,Diesel,154 kW,terensko vozilo / SUV / pick up,5,180000 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtd-m-q4.154kw-2017-god-navi-alu-20-kamera-oglas-40209305
39,45.905560062588,15.807274702239,Zagrebačka,Zaprešić - Okolica,Alfa Romeo,Giulietta,10.700 €,2017. godište,Diesel,88 kW,hatchback,5,195800 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-multijet-16v-oglas-41080136
40,43.508664925231,16.493507328257,Splitsko-dalmatinska,Split,Alfa Romeo,147,11 €,2006. godište,Benzin,82 kW,hatchback,2,181000 km,https://www.njuskalo.hr/auti/alfa-romeo-147-1.6-ts-105-ti-samo-dijelove-motor-odlican-oglas-40361870
41,45.855040474172,15.98652111408,Grad Zagreb,Maksimir,Alfa Romeo,Giulietta,14.600 €,2012. godište,Benzin,173 kW,limuzina,5,173306 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1750-tbi-16v-oglas-41555202
42,45.78968293234,15.939659402071,Grad Zagreb,Trešnjevka - Jug,Alfa Romeo,Giulietta,7.500 €,2013. godište,Benzin,77 kW,hatchback,5,153000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.4-tb-16v-oglas-41327785
43,43.502142106411,16.45297798078,Splitsko-dalmatinska,Split,Alfa Romeo,Giulietta,7.300 €,2012. godište,Diesel,77 kW,limuzina,5,190000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-oglas-41568241
44,45.33198633662485,17.01461953194473,Sisačko-moslavačka,Novska,Alfa Romeo,Giulietta,12.750 €,2011. godište,Benzin,173 kW,hatchback,5,172000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1750-tbi-vozilo-dolasku-prelijep-primjerak-oglas-41934413
45,45.34010724752348,16.96014391001712,Sisačko-moslavačka,Novska,Alfa Romeo,Giulietta,11.350 €,2014. godište,Diesel,110 kW,hatchback,5,176000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0-jtdm-trofeo-veliki-servis-reg-4-24-odlican-oglas-42233358
46,45.350936934465,16.978572526006,Sisačko-moslavačka,Novska,Alfa Romeo,Giulia,18.999 €,2016. godište,Diesel,110 kW,limuzina,4,132000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtdm-super-at8-xenon-alu-18-navi-servisna-pdc-oglas-41141783
47,44.12346,15.255737,Zadarska,Zadar,Alfa Romeo,Giulietta,6.750 €,2013. godište,Diesel,77 kW,limuzina,4,203000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.6-d-n-a-oglas-42294149
48,46.226654,16.128149,Varaždinska,Ivanec,Alfa Romeo,GT,3.999 €,2005. godište,Diesel,110 kW,coupe,2,189000 km,https://www.njuskalo.hr/auti/alfa-romeo-gt-1.9-jtd-m-jet-oglas-38793376
49,43.943146,15.4579315,Zadarska,Biograd Na Moru,Alfa Romeo,Stelvio,22.750 €,2018. godište,Diesel,132 kW,terensko vozilo / SUV / pick up,5,156450 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-jtdm-bussines-f1-volan-servisna-180ks-oglas-42245839
50,45.859297167029,16.022692504555,Grad Zagreb,Podsljeme,Alfa Romeo,Stelvio,29.900 €,2019. godište,Diesel,118 kW,terensko vozilo / SUV / pick up,5,93000 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2d-automatik-q2-super-koza-radar-led-kamera-alu20-oglas-40974374
52,45.344527212468,18.969103236434,Vukovarsko-srijemska,Vukovar,Alfa Romeo,Giulietta,5.950 €,2011. godište,Diesel,103 kW,limuzina,5,189000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0jtd-oglas-42289773
53,43.51643,16.466145,Splitsko-dalmatinska,Split,Alfa Romeo,159,7.800 €,2006. godište,Diesel,110 kW,limuzina,5,136000 km,https://www.njuskalo.hr/auti/alfa-romeo-159-1.9-jtdm-oglas-39872563
55,45.465248917899,16.756785893523,Sisačko-moslavačka,Kutina,Alfa Romeo,147,1.150 €,2002. godište,Diesel,103 kW,hatchback,3,390000 km,https://www.njuskalo.hr/auti/alfa-romeo-147-1.9-multijet-16v-oglas-28160678
