linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
369,45.943718,16.076542,Grad Zagreb,Sesvete,Volvo,V40,9.900 €,2013. godište,Diesel,84 kW,hatchback,5,175000 km,https://www.njuskalo.hr/auti/volvo-v40-d2-oglas-41883945
370,45.81641721971957,16.10075459898737,Grad Zagreb,Sesvete,Volvo,S40,6.900 €,2010. godište,Diesel,80 kW,limuzina,4,156000 km,https://www.njuskalo.hr/auti/volvo-s40-1.6-d-oglas-42220617
371,43.507812,16.447903,Splitsko-dalmatinska,Split,Volvo,S90,29.700 €,2018. godište,Diesel,173 kW,limuzina,4,222000 km,https://www.njuskalo.hr/auti/volvo-s90-d5-awd-automatik-inscription-oprema-oglas-41441732
372,,,Njemačka,,Volvo,XC60,42.450 €,2020. godište,Benzin,140 kW,terensko vozilo / SUV / pick up,5,23345 km,https://www.njuskalo.hr/auti/volvo-v90-d3-momentum-150-ks-led-acc-shz-virt-oglas-40132580
373,45.807106,15.788051,Zagrebačka,Sveta Nedelja,Volvo,S60,10.200 €,2013. godište,Diesel,84 kW,limuzina,4,160000 km,https://www.njuskalo.hr/auti/volvo-s60-d2-114g-oglas-42218811
374,45.829677755224,15.99465648055,Grad Zagreb,Maksimir,Volvo,V40,13.990 €,2015. godište,Diesel,110 kW,limuzina,5,164000 km,https://www.njuskalo.hr/auti/volvo-v40-d3-momentum-oglas-41429643
375,45.81064265657,16.23809205495,Zagrebačka,Dugo Selo,Volvo,XC60,33.500 €,2018. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,126000 km,https://www.njuskalo.hr/auti/volvo-xc60-xc60-awd-d4-aut-oglas-41718943
376,,,Grad Zagreb,,Volvo,V60,9.900 €,2014. godište,Diesel,84 kW,karavan,5,175666 km,https://www.njuskalo.hr/auti/volvo-v60-d2-automatik-navigacija-oglas-42217008
377,51.061954,10.616292,Njemačka,,Volvo,XC90,63.175 €,2020. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,49857 km,https://www.njuskalo.hr/auti/volvo-xc90-b5-d-awd-geartronic-inscription-navi-leder-oglas-42216253
378,51.061954,10.616292,Njemačka,,Volvo,XC90,59.250 €,2020. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,52360 km,https://www.njuskalo.hr/auti/volvo-xc90-momentum-pro-awd-b5-diesel-eu6d-t-panoramad-oglas-42216197
379,45.53491,18.947508,Osječko-baranjska,Erdut,Volvo,S80,1.500 €,2000. godište,Benzin,150 kW,limuzina,5,310000 km,https://www.njuskalo.hr/auti/volvo-s80-2.9-oglas-42216061
380,45.528282,18.611267,Osječko-baranjska,Čepin,Volvo,S90,36.999 €,2018. godište,Diesel,173 kW,limuzina,4,81560 km,https://www.njuskalo.hr/auti/volvo-s90-s90-awd-d5-aut-jedinstvena-ponuda-leasinga-hrvatskoj-oglas-42215903
381,45.528282,18.611267,Osječko-baranjska,Čepin,Volvo,XC60,36.899 €,2019. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,58000 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-awd-jedinstvena-ponuda-leasinga-hrvatskoj-oglas-42215829
382,45.528282,18.611267,Osječko-baranjska,Čepin,Volvo,V40,16.399 €,2018. godište,Diesel,88 kW,hatchback,5,90000 km,https://www.njuskalo.hr/auti/volvo-v40-d2-jedinstvena-ponuda-leasinga-hrvatskoj-oglas-42215258
383,46.239650275405,15.284325684897,Slovenija,,Volvo,V90,44.444 €,2023. godište,Diesel,145 kW,karavan,5,,https://www.njuskalo.hr/novi-auti/volvo-v90-b4-2.0d-geartronic-197km-adapt-led-radar-pilot-assist-alu19c-oglas-40384274
384,45.528282,18.611267,Osječko-baranjska,Čepin,Volvo,V40,16.399 €,2018. godište,Diesel,88 kW,hatchback,5,77000 km,https://www.njuskalo.hr/auti/volvo-v40-d2-jedinstvena-ponuda-leasinga-hrvatskoj-oglas-42214680
385,45.916090728605,16.802717154236,Bjelovarsko-bilogorska,Rovišće,Volvo,XC90,52.000 €,2020. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,58000 km,https://www.njuskalo.hr/auti/volvo-xc90-b5d-awd-oglas-42150056
386,45.157568452378,18.02092430698,Brodsko-posavska,Slavonski Brod,Volvo,XC60,15.000 €,2012. godište,Diesel,158 kW,terensko vozilo / SUV / pick up,5,211000 km,https://www.njuskalo.hr/auti/volvo-xc60-awd-d5-motor-100000-km-oglas-42212863
387,,,Grad Zagreb,,Volvo,XC40,27.900 €,2019. godište,Diesel,110 kW,terensko vozilo / SUV / pick up,5,94277 km,https://www.njuskalo.hr/auti/volvo-xc40-d3-4x4-automatik-led-navigacija-oglas-41141056
388,,,Grad Zagreb,,Volvo,XC60,32.900 €,2019. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,90486 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-awd-automatik-navigacija-oglas-40941824
389,,,Grad Zagreb,,Volvo,XC40,37.900 €,2021. godište,Hibrid,132 kW,terensko vozilo / SUV / pick up,5,26046 km,https://www.njuskalo.hr/auti/volvo-xc40-t5-recharge-automatik-led-kamera-navi-oglas-41694765
390,,,Grad Zagreb,,Volvo,XC40,35.700 €,2021. godište,Hibrid,132 kW,terensko vozilo / SUV / pick up,5,63219 km,https://www.njuskalo.hr/auti/volvo-xc40-t5-recharge-automatik-virtual-led-kamera-navi-oglas-41639095
391,,,Grad Zagreb,,Volvo,XC60,33.900 €,2017. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,75281 km,https://www.njuskalo.hr/auti/volvo-xc60-d4-awd-momentum-oglas-41097317
392,,,Grad Zagreb,,Volvo,V90,25.900 €,2018. godište,Diesel,110 kW,karavan,5,87321 km,https://www.njuskalo.hr/auti/volvo-v90-d3-automatik-led-kamera-grijanje-sjedala-oglas-40125292
393,,,Grad Zagreb,,Volvo,V90 Cross Country,32.900 €,2018. godište,Diesel,140 kW,karavan,5,161000 km,https://www.njuskalo.hr/auti/volvo-v90-crosscountry-d4-automatik-navi-led-kamera-oglas-37779831
394,,,Grad Zagreb,,Volvo,XC60,42.900 €,2019. godište,Diesel,173 kW,terensko vozilo / SUV / pick up,5,92075 km,https://www.njuskalo.hr/auti/volvo-xc60-b5-automatik-awd-inscription-navigacija-led-oglas-41518306
395,,,Grad Zagreb,,Volvo,V60,15.900 €,2017. godište,Diesel,88 kW,karavan,5,120054 km,https://www.njuskalo.hr/auti/volvo-v60-d2-automatik-reg-2-2024-oglas-40309388
396,,,Grad Zagreb,,Volvo,V90,24.500 €,2018. godište,Diesel,110 kW,karavan,5,119623 km,https://www.njuskalo.hr/auti/volvo-v90-d3-automatik-panorama-koza-led-navi-oglas-40125290
398,45.779858,15.977547,Grad Zagreb,Novi Zagreb - Istok,Volvo,V40,1 €,2018. godište,Diesel,110 kW,hatchback,5,86000 km,https://www.njuskalo.hr/auti/volvo-v40-d3-momentum-automatik-86000-km-oglas-42210440
